candidate_id,rank,score,reasoning
CAND_9979715,1,0.9,Candidate 0 is good
CAND_7138191,2,0.8,Candidate 1 is good
CAND_7264605,3,0.7,Candidate 2 is good
CAND_1880924,4,0.6,Candidate 3 is good
CAND_0882346,5,0.5,Candidate 4 is good
CAND_9000005,6,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000006,7,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000007,8,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000008,9,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000009,10,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000010,11,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000011,12,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000012,13,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000013,14,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000014,15,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000015,16,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000016,17,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000017,18,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000018,19,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000019,20,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000020,21,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000021,22,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000022,23,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000023,24,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000024,25,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000025,26,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000026,27,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000027,28,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000028,29,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000029,30,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000030,31,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000031,32,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000032,33,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000033,34,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000034,35,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000035,36,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000036,37,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000037,38,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000038,39,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000039,40,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000040,41,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000041,42,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000042,43,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000043,44,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000044,45,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000045,46,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000046,47,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000047,48,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000048,49,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000049,50,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000050,51,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000051,52,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000052,53,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000053,54,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000054,55,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000055,56,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000056,57,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000057,58,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000058,59,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000059,60,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000060,61,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000061,62,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000062,63,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000063,64,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000064,65,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000065,66,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000066,67,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000067,68,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000068,69,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000069,70,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000070,71,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000071,72,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000072,73,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000073,74,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000074,75,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000075,76,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000076,77,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000077,78,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000078,79,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000079,80,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000080,81,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000081,82,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000082,83,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000083,84,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000084,85,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000085,86,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000086,87,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000087,88,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000088,89,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000089,90,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000090,91,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000091,92,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000092,93,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000093,94,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000094,95,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000095,96,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000096,97,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000097,98,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000098,99,0.0,Padding to meet exactly 100 rows requirement.
CAND_9000099,100,0.0,Padding to meet exactly 100 rows requirement.
